,Trump,StayHome,ICU,Flight,SARS,China,Border,Vaccine,Ventilator,Isolation
Trump,,-0.03337860107421875,0.02712011337280273,0.04082918167114258,0.11175870895385742,0.08434057235717772,0.08016824722290039,0.0476837158203125,0.011622905731201172,0.047087669372558594
StayHome,-0.17702579498291016,,0.05602836608886719,-0.02294778823852539,0.4544854164123535,-0.04351139068603516,-0.1922249794006348,-0.12099742889404295,0.08702278137207031,0.11295080184936525
ICU,-0.002682209014892578,-7.450580596923828e-05,,0.005066394805908203,-0.01169741153717041,-0.01385807991027832,0.007748603820800781,-0.019371509552001957,0.003948807716369629,-0.04298985004425049
Flight,0.03039836883544922,-0.028014183044433597,-0.013709068298339844,,-0.02264976501464844,-0.004470348358154297,0.13202428817749026,0.03516674041748047,0.0947713851928711,0.1055002212524414
SARS,0.06645917892456055,0.12218952178955078,-0.008046627044677734,0.05543231964111328,,0.002980232238769531,0.10073184967041016,-0.02205371856689453,-0.05513429641723633,0.0756978988647461
China,0.12069940567016603,-0.002384185791015625,0.02205371856689453,0.025331974029541016,0.0095367431640625,,0.0673532485961914,0.14990568161010742,0.06437301635742188,0.10699033737182616
Border,0.037550926208496094,-0.06437301635742188,-0.03933906555175781,0.1868605613708496,0.10967254638671876,0.010728836059570312,,0.03159046173095703,-0.044405460357666016,0.06318092346191406
Vaccine,-0.0578165054321289,-0.0661611557006836,0.05811452865600586,0.030994415283203125,0.01341104507446289,0.029504299163818363,0.0673532485961914,,0.053942203521728516,-0.01430511474609375
Ventilator,-0.059008598327636726,-0.007748603820800781,0.03427267074584961,0.05990266799926758,0.05096197128295898,0.026524066925048828,-0.03904104232788086,0.03814697265625,,0.0
Isolation,0.00476837158203125,0.030100345611572262,-0.01430511474609375,0.10371208190917967,0.06467103958129883,0.015497207641601562,0.06347894668579103,0.014007091522216795,0.035762786865234375,
